chromosome	start_H	end_H	mean_binsignal_H	start_D	end_D	mean_binsignal_D	Jaccard_index
chr1	1974554	2524553	0.5432474	1944554	2524553	0.3842214	0.94827586
chr1	33434554	33804553	0.4444359	33424554	33804553	0.3644327	0.97368421
chr1	78144554	78454553	0.4547496	78224554	79094553	0.3808582	0.24210526
chr1	178834554	179204553	0.4031954	178644554	179204553	0.3168206	0.66071429
chr2	8818814	9148813	0.3743222	8818814	9348813	0.4271142	0.62264151
chr2	128278814	128788813	0.4512205	128168814	128848813	0.3209414	0.75000000
chr2	152138814	153038813	0.5029635	152138814	153198813	0.4761051	0.84905660
chr3	50255431	51585430	0.5871951	50225431	51585430	0.4469496	0.97794118
chr3	111255431	111395430	0.5017703	111255431	111705430	0.3564385	0.31111111
chr3	158285431	158455430	0.3413009	157815431	158395430	0.3091360	0.17187500
chr3	183845431	183955430	0.4451128	183845431	184085430	0.3594706	0.45833333
chr4	108633179	109093178	0.3936688	106393179	108913178	0.3496554	0.10370370
chr4	128793179	128983178	0.4285377	128793179	129223178	0.3073253	0.44186047
chr4	146093179	146543178	0.3233423	146013179	146543178	0.2911479	0.84905660
chr4	169233179	169463178	0.4403206	169413179	170543178	0.3794691	0.03816794
chr5	77582266	78072265	0.3121244	77352266	78072265	0.2941705	0.68055556
chr6	26081910	26201909	0.4020388	26081910	26211909	0.4413071	0.92307692
chr7	65859757	66389756	0.4024161	65539757	66099756	0.3679892	0.28235294
chr7	72929757	72999756	0.3604914	72719757	73039756	0.3633941	0.21875000
chr7	73579757	73709756	0.4365417	73489757	74269756	0.3904268	0.16666667
chr8	25032601	25642600	0.3450747	25032601	26152600	0.3766648	0.54464286
chr8	28742601	28922600	0.3865260	28452601	28752600	0.2619321	0.02127660
chr8	74652601	74912600	0.4325670	74582601	74892600	0.3520148	0.72727273
chr8	144892601	145172600	0.5735648	144852601	145202600	0.5096507	0.80000000
chr9	133991056	134621055	0.5263102	133971056	135041055	0.4359629	0.58878505
chr11	14381279	14671278	0.4112856	14381279	14921278	0.3735679	0.53703704
chr11	116961279	117691278	0.4916939	116961279	117801278	0.3660206	0.86904762
chr12	6417607	7347606	0.6035857	6307607	7347606	0.4761680	0.89423077
chr12	133277607	133707606	0.5609256	133177607	133657606	0.4054640	0.71698113
chr15	34253998	34523997	0.5586605	33593998	34633997	0.4065884	0.25961538
chr15	41403998	41703997	0.4453503	41213998	41633997	0.3365529	0.46938776
chr16	64043	794042	0.5981137	274043	1034042	0.5983474	0.53608247
chr16	2924043	3064042	0.4973503	2924043	3104042	0.4425181	0.77777778
chr16	11724043	11844042	0.3681838	11614043	11894042	0.3290672	0.42857143
chr16	29794043	31224042	0.6563146	29604043	31224042	0.5703799	0.88271605
chr17	7734961	7914960	0.4904201	7614961	7914960	0.4557732	0.60000000
chr19	7578403	7748402	0.4747626	7288403	7748402	0.3829049	0.36956522
chr19	7888403	8618402	0.4851338	7798403	8648402	0.4402034	0.85882353
chr19	41718403	41938402	0.6515868	41698403	41938402	0.6161995	0.91666667
chr19	45818403	46408402	0.4833001	45868403	46478402	0.4485138	0.81818182
chr19	53638403	53708402	0.3676637	53628403	53708402	0.2741063	0.87500000
chr20	58508351	58638350	0.3173373	58508351	58668350	0.3772947	0.81250000
chr21	45073191	45773190	0.5269932	45133191	45853190	0.4056222	0.82051282
chr22	22692157	22772156	0.5289549	22672157	22772156	0.5361642	0.80000000
chr22	23192157	23242156	0.3069007	23192157	23252156	0.3460429	0.83333333
chrX	48750091	49060090	0.7310836	48650091	49060090	0.6300769	0.75609756
chrX	152950091	153690090	0.5869977	152990091	153750090	0.4721994	0.87500000
