chr1	1104554	1714553	0.5954508
chr1	26554554	27674553	0.4675998
chr1	45474554	47144553	0.4461169
chr1	54404554	55274553	0.4504589
chr1	109094554	110094553	0.4368349
chr1	153594554	156274553	0.5092689
chr1	160114554	160774553	0.4565874
chr1	201854554	203164553	0.3596918
chr2	69688814	70538813	0.4443040
chr2	85288814	87098813	0.4605597
chr2	190298814	192018813	0.4890204
chr2	241928814	242918813	0.4314115
chr3	9685431	10335430	0.4343077
chr3	48465431	49985430	0.5491864
chr3	50255431	51585430	0.5871951
chr3	51975431	53925430	0.4566217
chr4	483179	3473178	0.4974730
chr5	34122266	37252265	0.4009520
chr5	112252266	114972265	0.4587795
chr6	35991910	37401909	0.4581558
chr6	41991910	43621909	0.5736777
chr6	88031910	90611909	0.3925675
chr7	759757	1609756	0.4196501
chr7	5309757	7759756	0.4874493
chr7	75469757	80559756	0.3832673
chr7	99609757	100489756	0.5476856
chr7	142009757	142589756	0.4069577
chr7	148719757	152169756	0.4888221
chr8	21762601	23322600	0.4298381
chr9	129621056	131851055	0.5296336
chr9	139221056	140501055	0.5384492
chr10	99050001	99630000	0.4593531
chr11	121279	931278	0.5674826
chr11	9281279	10781278	0.4083976
chr11	64351279	66631278	0.5627728
chr11	118091279	119081278	0.4341424
chr12	8967607	10387606	0.3957975
chr12	53337607	54077606	0.4922869
chr12	56107607	57147606	0.5887428
chr12	57397607	58247606	0.4428868
chr12	111837607	113867606	0.4342380
chr14	22103848	23823847	0.5221339
chr14	24023848	24813847	0.5646515
chr14	50063848	51433847	0.3753190
chr14	73353848	74773847	0.3931638
chr14	91583848	93673847	0.3760916
chr16	1354043	2594042	0.5162664
chr16	67134043	69794042	0.5609634
chr17	894961	2624960	0.4990935
chr17	3494961	4404960	0.4098673
chr17	6734961	7554960	0.5693665
chr17	26644961	27424960	0.4759154
chr17	37344961	38384960	0.4529659
chr17	39884961	41484960	0.5248845
chr17	45264961	46184960	0.4145626
chr17	73004961	74734960	0.5653780
chr17	78074961	79884960	0.5074615
chr19	168403	2848402	0.5411452
chr19	2938403	5788402	0.5157721
chr19	10038403	11678402	0.5456244
chr19	12198403	14248402	0.4869992
chr19	16208403	19318402	0.5726365
chr19	32888403	34928402	0.3521009
chr19	40488403	41348402	0.4972989
chr19	42128403	42838402	0.5130670
chr19	43968403	44958402	0.5174658
chr19	48818403	49498402	0.4884111
chr20	31988351	33818350	0.4647575
chr21	45073191	45773190	0.5269932
chr22	26562157	27072156	0.3516246
chr22	29592157	30242156	0.4158492
chr22	36562157	40772156	0.4380471
