chr1	19274554	19974553	0.4879355
chr1	100314554	100734553	0.5895193
chr2	55458814	55928813	0.4243536
chr2	239108814	239158813	0.4190287
chr3	155515431	156395430	0.4889217
chr5	133982266	134212265	0.6196485
chr5	179232266	179342265	0.3256081
chr6	56901910	57091909	0.3710968
chr6	139011910	139461909	0.4331752
chr6	149861910	150041909	0.5810670
chr7	102709757	103089756	0.3954053
chr8	66542601	66652600	0.3311715
chr8	81142601	81452600	0.3817989
chr8	97502601	98792600	0.3010054
chr9	15301056	15561055	0.4051110
chr11	121279	931278	0.5674826
chr11	2291279	2921278	0.4580428
chr11	60601279	60721278	0.4285052
chr12	48147607	48227606	0.4795618
chr12	72047607	72157606	0.4818693
chr13	49814637	50274636	0.5075470
chr14	35343848	35593847	0.4436871
chr15	83473998	83743997	0.4651254
chr16	27214043	29004042	0.4914931
chr16	70284043	70614042	0.5323415
chr16	74474043	75044042	0.3282189
chr16	84584043	85054042	0.4609634
chr17	16944961	18224960	0.5340738
chr17	20944961	21164960	0.4465824
chr17	47754961	47874960	0.3003394
chr17	79924961	80284960	0.6336410
chr19	15438403	15618402	0.4891203
chr19	39798403	39928402	0.4638752
chr20	60638351	60758350	0.4000618
chr20	62128351	62688350	0.5275669
chr21	43823191	44083190	0.2828717
chr21	47643191	47883190	0.5516235
chr22	18892157	19282156	0.4786213
chr22	50212157	51122156	0.4966713
chrX	154290091	154430090	0.5566990
