chromosome	start_H	end_H	mean_binsignal_H	start_D	end_D	mean_binsignal_D	Jaccard_index
chr1	10484554	11824553	0.4861528	11114554	12294553	0.3793233	0.39226519
chr1	11984554	12294553	0.4509502	11114554	12294553	0.3793233	0.26271186
chr2	27068814	27298813	0.5280403	27188814	27658813	0.4914944	0.18644068
chr2	27498814	27888813	0.5402681	27188814	27658813	0.4914944	0.22857143
chr7	104559757	105929756	0.4608330	104649757	107209756	0.3218107	0.48301887
chr7	106679757	107229756	0.3107530	104649757	107209756	0.3218107	0.20542636
chr8	145512601	145752600	0.5791391	145572601	146132600	0.4919795	0.29032258
chr8	145972601	146062600	0.6290584	145572601	146132600	0.4919795	0.16071429
chr14	105153848	105293847	0.4824644	105153848	106373847	0.4589864	0.11475410
chr14	105383848	106373847	0.5413097	105153848	106373847	0.4589864	0.81147541
chr14	106463848	106813847	0.3918268	106773848	107223847	0.4056143	0.05263158
chr14	106933848	107223847	0.3861427	106773848	107223847	0.4056143	0.64444444
chr15	74743998	75323997	0.4826947	75103998	75943997	0.4047948	0.18333333
chr15	75623998	75753997	0.4665707	75103998	75943997	0.4047948	0.15476190
chr16	57474043	57734042	0.4736653	57474043	58164042	0.3924038	0.37681159
chr16	57894043	58724042	0.4308098	57474043	58164042	0.3924038	0.21600000
chr19	55378403	55588402	0.4268598	55548403	55858402	0.3376649	0.08333333
chr19	55738403	55868402	0.4628826	55548403	55858402	0.3376649	0.37500000
chr19	57738403	58128402	0.5830657	57748403	58868402	0.4533206	0.33628319
chr19	58188403	59078402	0.5466649	57748403	58868402	0.4533206	0.51127820
chrX	73830091	74380090	0.4644960	74140091	77170090	0.3949398	0.07185629
chrX	75640091	77170090	0.3972199	74140091	77170090	0.3949398	0.50495050
chrY	14804896	15594895	0.4606866	14764896	22744895	0.5626469	0.09899749
chrY	21854896	22744895	0.5662960	14764896	22744895	0.5626469	0.11152882
