chromosome	start_H	end_H	mean_binsignal_H	start_D	end_D	mean_binsignal_D	Jaccard_index
chr1	10484554	11824553	0.4861528	10504554	10864553	0.2528019	0.268656716
chr1	10484554	11824553	0.4861528	11114554	12294553	0.3793233	0.392265193
chr1	27994554	28914553	0.5214040	28044554	28424553	0.4177957	0.413043478
chr1	27994554	28914553	0.5214040	28554554	28884553	0.4132261	0.358695652
chr1	39874554	41164553	0.3867546	40244554	40514553	0.3198757	0.209302326
chr1	39874554	41164553	0.3867546	40714554	40974553	0.3384141	0.201550388
chr1	92624554	93914553	0.4618062	92624554	92864553	0.3234846	0.186046512
chr1	92624554	93914553	0.4618062	93544554	93814553	0.3807966	0.209302326
chr1	144984554	145734553	0.4905913	145094554	145294553	0.3118945	0.266666667
chr1	144984554	145734553	0.4905913	145464554	145614553	0.4451548	0.200000000
chr1	149854554	151324553	0.5415756	150284554	150494553	0.4105452	0.142857143
chr1	149854554	151324553	0.5415756	150594554	151304553	0.5252344	0.482993197
chr1	153594554	156274553	0.5092689	153604554	153944553	0.4659977	0.126865672
chr1	153594554	156274553	0.5092689	154374554	154544553	0.3175945	0.063432836
chr1	153594554	156274553	0.5092689	154834554	155284553	0.4531705	0.167910448
chr1	153594554	156274553	0.5092689	155524554	156314553	0.4040543	0.275735294
chr1	161004554	161604553	0.5307638	161084554	161204553	0.5018310	0.200000000
chr1	161004554	161604553	0.5307638	161474554	161554553	0.3762463	0.133333333
chr2	69688814	70538813	0.4443040	69688814	69908813	0.3559600	0.258823529
chr2	69688814	70538813	0.4443040	70468814	70528813	0.3215592	0.070588235
chr2	178068814	180878813	0.3888153	178248814	178488813	0.3206489	0.085409253
chr2	178068814	180878813	0.3888153	179268814	179918813	0.4007856	0.231316726
chr2	190298814	192018813	0.4890204	190438814	190648813	0.3812524	0.122093023
chr2	190298814	192018813	0.4890204	191208814	191888813	0.4492250	0.395348837
chr2	241928814	242918813	0.4314115	241928814	242098813	0.3084791	0.171717172
chr2	241928814	242918813	0.4314115	242448814	242918813	0.3692795	0.474747475
chr3	9685431	10335430	0.4343077	9595431	9835430	0.4207262	0.202702703
chr3	9685431	10335430	0.4343077	9925431	9995430	0.3941852	0.107692308
chr3	9685431	10335430	0.4343077	10175431	10335430	0.4159620	0.246153846
chr3	48465431	49985430	0.5491864	48475431	48675430	0.3838908	0.131578947
chr3	48465431	49985430	0.5491864	48775431	49845430	0.5478370	0.703947368
chr4	483179	3473178	0.4974730	613179	1013178	0.3433202	0.133779264
chr4	483179	3473178	0.4974730	1243179	3303178	0.4253836	0.688963211
chr5	112252266	114972265	0.4587795	112252266	112832265	0.3059366	0.213235294
chr5	112252266	114972265	0.4587795	114532266	115182265	0.4515761	0.150170648
chr5	175662266	177022265	0.5452157	175782266	175972265	0.3411144	0.139705882
chr5	175662266	177022265	0.5452157	176232266	177022265	0.5606978	0.580882353
chr6	35991910	37401909	0.4581558	35991910	36211909	0.4201090	0.156028369
chr6	35991910	37401909	0.4581558	36641910	37401909	0.3721142	0.539007092
chr6	88031910	90611909	0.3925675	88051910	88111909	0.3581558	0.023255814
chr6	88031910	90611909	0.3925675	90021910	90151909	0.3247344	0.050387597
chr7	759757	1609756	0.4196501	909757	1069756	0.4154534	0.188235294
chr7	759757	1609756	0.4196501	1489757	1609756	0.3531634	0.141176471
chr7	5309757	7759756	0.4874493	5459757	5639756	0.4697364	0.073469388
chr7	5309757	7759756	0.4874493	6139757	6659756	0.4405797	0.212244898
chr7	43619757	45039756	0.5153464	43899757	44169756	0.3911380	0.190140845
chr7	43619757	45039756	0.5153464	44529757	45039756	0.4373411	0.359154930
chr7	75469757	80559756	0.3832673	75929757	76099756	0.3696301	0.033398821
chr7	75469757	80559756	0.3832673	76749757	80559756	0.3903749	0.748526523
chr7	99609757	100489756	0.5476856	99639757	99779756	0.4452316	0.159090909
chr7	99609757	100489756	0.5476856	100019757	100479756	0.4404436	0.522727273
chr7	142009757	142589756	0.4069577	142009757	142369756	0.3796808	0.620689655
chr7	142009757	142589756	0.4069577	142489757	142559756	0.2721786	0.120689655
chr7	148719757	152169756	0.4888221	148779757	149579756	0.4376214	0.231884058
chr7	148719757	152169756	0.4888221	150489757	151729756	0.4275789	0.359420290
chr8	21762601	23322600	0.4298381	21762601	22002600	0.3662547	0.153846154
chr8	21762601	23322600	0.4298381	22932601	23292600	0.4353678	0.230769231
chr9	129621056	131851055	0.5296336	130371056	131011055	0.4474140	0.286995516
chr9	129621056	131851055	0.5296336	131081056	131851055	0.5044055	0.345291480
chr9	135281056	137011055	0.4654357	135901056	136331055	0.5119986	0.248554913
chr9	135281056	137011055	0.4654357	136601056	137011055	0.3764250	0.236994220
chr9	139221056	140501055	0.5384492	139221056	139441055	0.4849997	0.171875000
chr9	139221056	140501055	0.5384492	139691056	140501055	0.5104287	0.632812500
chr10	99050001	99630000	0.4593531	98940001	99210000	0.3658348	0.231884058
chr10	99050001	99630000	0.4593531	99440001	99610000	0.3700554	0.293103448
chr10	103570001	106100000	0.4672766	103600001	103920000	0.4666346	0.126482213
chr10	103570001	106100000	0.4672766	104150001	104220000	0.4855623	0.027667984
chr11	9281279	10781278	0.4083976	9151279	9411278	0.2930328	0.079754601
chr11	9281279	10781278	0.4083976	10321279	10781278	0.4330412	0.306666667
chr11	64351279	66631278	0.5627728	64511279	65151278	0.5131317	0.280701754
chr11	64351279	66631278	0.5627728	65291279	66041278	0.5129168	0.328947368
chr11	64351279	66631278	0.5627728	66241279	66631278	0.4216935	0.171052632
chr12	857607	2967606	0.4083169	567607	867606	0.3035753	0.004166667
chr12	857607	2967606	0.4083169	2897607	2947606	0.4422782	0.023696682
chr12	8967607	10387606	0.3957975	9217607	9987606	0.3880830	0.542253521
chr12	8967607	10387606	0.3957975	10077607	10327606	0.3113717	0.176056338
chr12	53337607	54077606	0.4922869	53337607	53667606	0.3912129	0.445945946
chr12	53337607	54077606	0.4922869	53767607	54027606	0.4221181	0.351351351
chr12	57397607	58247606	0.4428868	57837607	57947606	0.5187490	0.129411765
chr12	57397607	58247606	0.4428868	58087607	58157606	0.3790537	0.082352941
chr12	111837607	113867606	0.4342380	111797607	112457606	0.3517223	0.299516908
chr12	111837607	113867606	0.4342380	113567607	113867606	0.4151166	0.147783251
chr12	122707607	124427606	0.4572913	122747607	123217606	0.3925593	0.273255814
chr12	122707607	124427606	0.4572913	123707607	124157606	0.3572868	0.261627907
chr14	22103848	23823847	0.5221339	22173848	22693847	0.4700238	0.302325581
chr14	22103848	23823847	0.5221339	22943848	23013847	0.5541603	0.040697674
chr14	22103848	23823847	0.5221339	23293848	23653847	0.4619649	0.209302326
chr14	24023848	24813847	0.5646515	24023848	24053847	0.3522946	0.037974684
chr14	24023848	24813847	0.5646515	24553848	24813847	0.5407067	0.329113924
chr14	50063848	51433847	0.3753190	50473848	50523847	0.3296732	0.036496350
chr14	50063848	51433847	0.3753190	51303848	51433847	0.3539814	0.094890511
chr14	106463848	106813847	0.3918268	106443848	106643847	0.5209853	0.486486486
chr14	106463848	106813847	0.3918268	106773848	107223847	0.4056143	0.052631579
chr15	63413998	64793997	0.4045162	63443998	63803997	0.3866352	0.260869565
chr15	63413998	64793997	0.4045162	64453998	64683997	0.3543213	0.166666667
chr15	74743998	75323997	0.4826947	74743998	74993997	0.3922860	0.431034483
chr15	74743998	75323997	0.4826947	75103998	75943997	0.4047948	0.183333333
chr16	1354043	2594042	0.5162664	1374043	1834042	0.4306645	0.370967742
chr16	1354043	2594042	0.5162664	1964043	2584042	0.4509086	0.500000000
chr16	67134043	69794042	0.5609634	67134043	68044042	0.4512119	0.342105263
chr16	67134043	69794042	0.5609634	68274043	68564042	0.3829092	0.109022556
chr16	67134043	69794042	0.5609634	69324043	69464042	0.4093738	0.052631579
chr17	3494961	4404960	0.4098673	3704961	3804960	0.2987212	0.109890110
chr17	3494961	4404960	0.4098673	4164961	4404960	0.3182793	0.263736264
chr17	6734961	7554960	0.5693665	6934961	7264960	0.4570977	0.402439024
chr17	6734961	7554960	0.5693665	7334961	7534960	0.5052112	0.243902439
chr17	33304961	33784960	0.4626420	33304961	33424960	0.3468213	0.250000000
chr17	33304961	33784960	0.4626420	33564961	33764960	0.3761880	0.416666667
chr17	37344961	38384960	0.4529659	37444961	37614960	0.2983697	0.163461538
chr17	37344961	38384960	0.4529659	37784961	37894960	0.3930726	0.105769231
chr17	37344961	38384960	0.4529659	38174961	38384960	0.4173834	0.201923077
chr17	39884961	41484960	0.5248845	40084961	40314960	0.4800851	0.143750000
chr17	39884961	41484960	0.5248845	40424961	40904960	0.4834005	0.300000000
chr17	39884961	41484960	0.5248845	40974961	41004960	0.3701293	0.018750000
chr17	45264961	46184960	0.4145626	45764961	45914960	0.4129561	0.163043478
chr17	45264961	46184960	0.4145626	46114961	46184960	0.3042448	0.076086957
chr17	72414961	72864960	0.4951699	72314961	72464960	0.2643230	0.090909091
chr17	72414961	72864960	0.4951699	72614961	72864960	0.4159668	0.555555556
chr17	73004961	74734960	0.5653780	73004961	73914960	0.4835344	0.526011561
chr17	73004961	74734960	0.5653780	74014961	74504960	0.4318228	0.283236994
chr17	76354961	77704960	0.4238763	76354961	76424960	0.3755474	0.051851852
chr17	76354961	77704960	0.4238763	76774961	77024960	0.3724128	0.185185185
chr17	78074961	79884960	0.5074615	78074961	78144960	0.3928392	0.038674033
chr17	78074961	79884960	0.5074615	78964961	79284960	0.4091157	0.176795580
chr17	78074961	79884960	0.5074615	79414961	79884960	0.5147508	0.259668508
chr19	168403	2848402	0.5411452	488403	718402	0.4968792	0.085820896
chr19	168403	2848402	0.5411452	818403	2458402	0.5242371	0.611940299
chr19	2938403	5788402	0.5157721	3038403	3768402	0.5202846	0.256140351
chr19	2938403	5788402	0.5157721	3968403	4838402	0.5143551	0.305263158
chr19	2938403	5788402	0.5157721	5558403	5788402	0.4386180	0.080701754
chr19	10038403	11678402	0.5456244	10188403	11208402	0.4601233	0.621951220
chr19	10038403	11678402	0.5456244	11368403	11548402	0.4682440	0.109756098
chr19	12198403	14248402	0.4869992	12268403	12468402	0.3597363	0.097560976
chr19	12198403	14248402	0.4869992	12768403	12848402	0.5333273	0.039024390
chr19	12198403	14248402	0.4869992	13068403	13888402	0.4360065	0.400000000
chr19	12198403	14248402	0.4869992	14008403	14248402	0.3888825	0.117073171
chr19	36098403	36608402	0.4243797	36098403	36258402	0.4233743	0.313725490
chr19	36098403	36608402	0.4243797	36498403	36628402	0.4240830	0.207547170
chr19	42128403	42838402	0.5130670	42348403	42508402	0.3780805	0.225352113
chr19	42128403	42838402	0.5130670	42698403	42838402	0.5046879	0.197183099
chr19	43968403	44958402	0.5174658	44008403	44148402	0.4994365	0.141414141
chr19	43968403	44958402	0.5174658	44398403	44818402	0.4655918	0.424242424
chr19	45138403	45688402	0.4337758	45108403	45168402	0.2956547	0.051724138
chr19	45138403	45688402	0.4337758	45388403	45688402	0.5447674	0.545454545
chr19	48818403	49498402	0.4884111	48768403	49208402	0.4624109	0.534246575
chr19	48818403	49498402	0.4884111	49368403	49478402	0.4067166	0.161764706
chr19	52148403	53408402	0.5095236	52388403	52678402	0.4507621	0.230158730
chr19	52148403	53408402	0.5095236	52798403	53198402	0.3657214	0.317460317
chr19	54558403	54968402	0.4437283	54558403	54698402	0.4651402	0.341463415
chr19	54558403	54968402	0.4437283	54758403	54968402	0.4398962	0.512195122
chr19	58188403	59078402	0.5466649	57748403	58868402	0.4533206	0.511278195
chr19	58188403	59078402	0.5466649	58958403	59028402	0.4729660	0.078651685
chr20	31988351	33818350	0.4647575	31988351	32408350	0.4804457	0.229508197
chr20	31988351	33818350	0.4647575	33128351	33578350	0.4933332	0.245901639
chr21	34593191	35293190	0.4358530	34593191	34703190	0.4697408	0.157142857
chr21	34593191	35293190	0.4358530	34913191	35293190	0.3671838	0.542857143
chr22	30682157	32152156	0.3664013	30682157	30802156	0.3773297	0.081632653
chr22	30682157	32152156	0.3664013	31682157	31752156	0.3243064	0.047619048
chr22	36562157	40772156	0.4380471	36632157	36792156	0.2760471	0.038004751
chr22	36562157	40772156	0.4380471	37502157	38672156	0.3995889	0.277909739
chr22	36562157	40772156	0.4380471	39072157	39242156	0.3367013	0.040380048
chr22	36562157	40772156	0.4380471	39402157	39552156	0.3071987	0.035629454
chr22	36562157	40772156	0.4380471	39712157	39972156	0.4418399	0.061757720
chr22	42912157	43552156	0.4426550	42912157	43012156	0.2807286	0.156250000
chr22	42912157	43552156	0.4426550	43252157	43552156	0.4287386	0.468750000
