chr2	54008814	55748813	0.3806114
chr3	13105431	15475430	0.5028929
chr3	49935431	50405430	0.4203202
chr5	74062266	76512265	0.4304624
chr6	108871910	109811909	0.3982472
chr9	138791056	139441055	0.4637450
chr10	74870001	75670000	0.4241702
chr11	30341279	32921278	0.4096125
chr12	44117607	47767606	0.3959877
chr14	52283848	55503847	0.3702372
chr14	105153848	107223847	0.5446087
chr15	74723998	75943997	0.4168710
chr16	4314043	9064042	0.4898191
chr16	15104043	15954042	0.3498102
chr16	29684043	31504042	0.5727392
chr16	66574043	68484042	0.4661589
chr16	86604043	89054042	0.4082010
chr17	26894961	27954960	0.4833919
chr17	48124961	48564960	0.3543815
chr19	11368403	12148402	0.4443226
chr19	17578403	19938402	0.5031365
chr19	40318403	40568402	0.3697140
chr19	52188403	53978402	0.4573421
chr19	57748403	59028402	0.5415271
chr22	22932157	23252156	0.5010179
chrY	14764896	22924895	0.4480786
