chromosome	start_H	end_H	mean_binsignal_H	start_D	end_D	mean_binsignal_D	Jaccard_index
chr1	1974554	2524553	0.5432474	1974554	2564553	0.4478580	0.932203390
chr1	24734554	25074553	0.4626638	24734554	25294553	0.4065601	0.607142857
chr1	39874554	41164553	0.3867546	40364554	41834553	0.3658650	0.408163265
chr1	53604554	53704553	0.4103895	53654554	53794553	0.3102327	0.263157895
chr1	78144554	78454553	0.4547496	77744554	78254553	0.3800359	0.154929577
chr1	100314554	100734553	0.5895193	100224554	100754553	0.5374119	0.792452830
chr1	178834554	179204553	0.4031954	178684554	179204553	0.4473032	0.711538462
chr1	184714554	185134553	0.4476840	183434554	184724553	0.3474025	0.005882353
chr1	212864554	213234553	0.4009807	212964554	214164553	0.3937232	0.207692308
chr1	244814554	247374553	0.4716278	244614554	247504553	0.3301611	0.885813149
chr2	26098814	26468813	0.4803143	25138814	26258813	0.3516871	0.120300752
chr2	28998814	29118813	0.2993167	28968814	30378813	0.3298383	0.085106383
chr2	38828814	39118813	0.3870548	38968814	39668813	0.3062981	0.178571429
chr2	46768814	47178813	0.3457031	45838814	47408813	0.3656887	0.261146497
chr2	71348814	71508813	0.2986656	71348814	73518813	0.3278006	0.073732719
chr2	89158814	89908813	0.5224331	89148814	89908813	0.7584289	0.986842105
chr2	112648814	113488813	0.4233388	112638814	113488813	0.4098889	0.988235294
chr2	114508814	114608813	0.3387148	114458814	114608813	0.3499706	0.666666667
chr2	148768814	149408813	0.4047804	148688814	149408813	0.4113214	0.888888889
chr2	152138814	153038813	0.5029635	152138814	153198813	0.4565302	0.849056604
chr2	170428814	170648813	0.5260493	170328814	170558813	0.4431652	0.406250000
chr2	203238814	204578813	0.6078350	203238814	204738813	0.5741933	0.893333333
chr2	220018814	220118813	0.5863512	220018814	220148813	0.4622327	0.769230769
chr3	37895431	38215430	0.4069987	37895431	38505430	0.3905437	0.524590164
chr3	44375431	44805430	0.4324081	44375431	44905430	0.4406700	0.811320755
chr3	47015431	47555430	0.4704382	47015431	47845430	0.4182452	0.650602410
chr3	57255431	58485430	0.5230789	56585431	58325430	0.4585901	0.563157895
chr3	88105431	88205430	0.3721430	88185431	93785430	0.3504639	0.003521127
chr3	111255431	111395430	0.5017703	110785431	111705430	0.4097169	0.152173913
chr3	128395431	129035430	0.5197180	128395431	129125430	0.4033448	0.876712329
chr3	134195431	134325430	0.3144530	134195431	135975430	0.3696202	0.073033708
chr3	158285431	158455430	0.3413009	158285431	159735430	0.3447813	0.117241379
chr3	178785431	180595430	0.6018891	178785431	180715430	0.5182137	0.937823834
chr3	195935431	196045430	0.4387098	196005431	196475430	0.3871006	0.074074074
chr4	6573179	6693178	0.4884247	6573179	7113178	0.4194614	0.222222222
chr4	47483179	52913178	0.4080178	47483179	53733178	0.3954780	0.868800000
chr4	55983179	56423178	0.2939696	55523179	56423178	0.3776285	0.488888889
chr4	71543179	71863178	0.5177917	71553179	72053178	0.4457423	0.607843137
chr4	83813179	84383178	0.4699072	84163179	85513178	0.3458235	0.129411765
chr4	128793179	128983178	0.4285377	128693179	129223178	0.4030301	0.358490566
chr5	212266	902265	0.5210799	92266	902265	0.3979234	0.851851852
chr5	41862266	43612265	0.4670464	42882266	44812265	0.4770336	0.247457627
chr5	64772266	65442265	0.4864477	64062266	65232265	0.5581297	0.333333333
chr5	77582266	78072265	0.3121244	77352266	78072265	0.3383753	0.680555556
chr5	78802266	79872265	0.4381014	78802266	80532265	0.3707642	0.618497110
chr5	90512266	90582265	0.3611645	86532266	90582265	0.3970509	0.017283951
chr5	94982266	95052265	0.4088543	93442266	95052265	0.3623733	0.043478261
chr5	133982266	134212265	0.6196485	133852266	134242265	0.4959824	0.589743590
chr5	139772266	140052265	0.6433617	139682266	140072265	0.4650716	0.717948718
chr5	156382266	156602265	0.3344913	156382266	157012265	0.3716456	0.349206349
chr6	26081910	26201909	0.4020388	26081910	26211909	0.4172550	0.923076923
chr6	32781910	33681909	0.6184879	32371910	33681909	0.4738129	0.687022901
chr6	52911910	53531909	0.3887861	52921910	53611909	0.3753767	0.871428571
chr6	99791910	100021909	0.3601087	96461910	100021909	0.3739775	0.064606742
chr6	139011910	139461909	0.4331752	138721910	139461909	0.4021257	0.608108108
chr6	149861910	150041909	0.5810670	149061910	150071909	0.4793197	0.178217822
chr6	151711910	151981909	0.4470844	151711910	152961909	0.3648912	0.216000000
chr6	170101910	170151909	0.2890835	170091910	170151909	0.2965804	0.833333333
