chromosome	start_H	end_H	mean_binsignal_H	start_D	end_D	mean_binsignal_D	Jaccard_index
chr1	1104554	1714553	0.5954508	1094554	2524553	0.5323684	0.42657343
chr1	1974554	2524553	0.5432474	1094554	2524553	0.5323684	0.38461538
chr1	35324554	36934553	0.5298037	35444554	38064553	0.4786390	0.54379562
chr1	37934554	38474553	0.3836374	35444554	38064553	0.4786390	0.04290429
chr3	182505431	183605430	0.4219875	182695431	184055430	0.3849451	0.58709677
chr3	183845431	183955430	0.4451128	182695431	184055430	0.3849451	0.08088235
chr5	74062266	74812265	0.4324517	74162266	76252265	0.3748449	0.29680365
chr5	75692266	76012265	0.3373299	74162266	76252265	0.3748449	0.15311005
chr5	131692266	131832265	0.3894739	131692266	132152265	0.3164955	0.30434783
chr5	132072266	132372265	0.4187331	131692266	132152265	0.3164955	0.11764706
chr8	144322601	144772600	0.4980504	144342601	145202600	0.4707385	0.48863636
chr8	144892601	145172600	0.5735648	144342601	145202600	0.4707385	0.32558140
chr9	133991056	134621055	0.5263102	133991056	136611055	0.4334632	0.24045802
chr9	135281056	137011055	0.4654357	133991056	136611055	0.4334632	0.44039735
chr14	50063848	51433847	0.3753190	51133848	53423847	0.3393750	0.08928571
chr14	52453848	53423847	0.4646805	51133848	53423847	0.3393750	0.42358079
chr14	105153848	105293847	0.4824644	105183848	107223847	0.4971644	0.05314010
chr14	105383848	106373847	0.5413097	105183848	107223847	0.4971644	0.48529412
chr14	106463848	106813847	0.3918268	105183848	107223847	0.4971644	0.17156863
chr14	106933848	107223847	0.3861427	105183848	107223847	0.4971644	0.14215686
chr15	40623998	41143997	0.4550094	40673998	41633997	0.4200239	0.46534653
chr15	41403998	41703997	0.4453503	40673998	41633997	0.4200239	0.22330097
chr15	74743998	75323997	0.4826947	74743998	75973997	0.4312264	0.47154472
chr15	75623998	75753997	0.4665707	74743998	75973997	0.4312264	0.10569106
chr15	100343998	101093997	0.3003188	100883998	101823997	0.3055339	0.14189189
chr15	101453998	101793997	0.3359703	100883998	101823997	0.3055339	0.36170213
chr16	57474043	57734042	0.4736653	57474043	58334042	0.4121690	0.30232558
chr16	57894043	58724042	0.4308098	57474043	58334042	0.4121690	0.35200000
chr17	78074961	79884960	0.5074615	79484961	80284960	0.5278800	0.18099548
chr17	79924961	80284960	0.6336410	79484961	80284960	0.5278800	0.45000000
chr19	2938403	5788402	0.5157721	5618403	6608402	0.4609768	0.04632153
chr19	5898403	6768402	0.5288955	5618403	6608402	0.4609768	0.61739130
chr19	10038403	11678402	0.5456244	11338403	11928402	0.4423438	0.17989418
chr19	11848403	12038402	0.3849158	11338403	11928402	0.4423438	0.11428571
chr19	20268403	21108402	0.3359493	20958403	21778402	0.3954200	0.09933775
chr19	21318403	21888402	0.4311675	20958403	21778402	0.3954200	0.49462366
chr19	53638403	53708402	0.3676637	53598403	53978402	0.3364665	0.18421053
chr19	53828403	53978402	0.4295986	53598403	53978402	0.3364665	0.39473684
chr19	55378403	55588402	0.4268598	55228403	55868402	0.4091659	0.32812500
chr19	55738403	55868402	0.4628826	55228403	55868402	0.4091659	0.20312500
chr19	57738403	58128402	0.5830657	57748403	58968402	0.4541984	0.30894309
chr19	58188403	59078402	0.5466649	57748403	58968402	0.4541984	0.58646617
chr22	20692157	20852156	0.3245469	20742157	21372156	0.4306854	0.16176471
chr22	21122157	21362156	0.3901847	20742157	21372156	0.4306854	0.38095238
chr22	23002157	23042156	0.4086853	23022157	23252156	0.4351418	0.08000000
chr22	23192157	23242156	0.3069007	23022157	23252156	0.4351418	0.21739130
chr22	41252157	42322156	0.5050431	41212157	42482156	0.4407416	0.84251969
chr22	42392157	42532156	0.3535826	41212157	42482156	0.4407416	0.06818182
