gene	chromosome	start	end	strand	log2FC	FDR
ANKRD65	chr1	1353800	1357149	-	NA	NA
TMEM88B	chr1	1361508	1363167	+	NA	NA
RP4-758J18.9	chr1	1363502	1365635	-	NA	NA
RP4-758J18.10	chr1	1365919	1369953	-	NA	NA
VWA1	chr1	1370241	1378262	+	0.591412636	1.0000000000000000000000
ATAD3C	chr1	1385069	1405538	+	-0.097634553	1.0000000000000000000000
GPATCH3	chr1	27216979	27226957	-	0.215222749	1.0000000000000000000000
NUDC	chr1	27226729	27273353	+	0.039611399	1.0000000000000000000000
NR0B2	chr1	27237980	27240457	-	0.758799620	1.0000000000000000000000
C1orf172	chr1	27276053	27286897	-	-0.312566214	1.0000000000000000000000
TRNP1	chr1	27320198	27327389	+	-0.541150988	1.0000000000000000000000
FAM46B	chr1	27331511	27339327	-	-0.233136130	1.0000000000000000000000
AL359473.1	chr1	45499641	45499692	-	NA	NA
PIK3R3	chr1	46505812	46642160	-	-0.655867482	0.2260897980436985255093
TSPAN1	chr1	46640745	46651630	+	NA	NA
POMGNT1	chr1	46654354	46685977	-	-0.399363507	0.7535800943195373191585
LURAP1	chr1	46669006	46686933	+	0.177732423	1.0000000000000000000000
DMBX1	chr1	46972668	46979898	+	NA	NA
MIR4781	chr1	54519752	54519827	+	NA	NA
AL161915.1	chr1	54569968	54571750	+	0.203008498	1.0000000000000000000000
CDCP2	chr1	54598747	54619443	-	NA	NA
CYB5RL	chr1	54606897	54665746	-	-0.312216547	1.0000000000000000000000
AL357673.1	chr1	54635333	54637997	-	-0.256512128	1.0000000000000000000000
MRPL37	chr1	54649714	54686603	+	-0.039871650	1.0000000000000000000000
SSBP3	chr1	54692190	54879152	-	-0.472516501	0.3172311068237602116326
C1orf191	chr1	54703710	54704736	+	-0.127912690	1.0000000000000000000000
RP4-705F19.1	chr1	54881929	54886533	+	NA	NA
SCARNA2	chr1	109642815	109643234	+	0.475930271	0.8963634749699206372142
C1orf194	chr1	109648573	109656479	-	0.579864791	1.0000000000000000000000
KIAA1324	chr1	109656301	109749401	+	0.417662362	1.0000000000000000000000
SARS	chr1	109756540	109780791	+	-0.096533885	1.0000000000000000000000
CELSR2	chr1	109792641	109818377	+	-0.371269138	1.0000000000000000000000
PSRC1	chr1	109822178	109825808	-	0.749160387	0.1912682466338994913269
MYBPHL	chr1	109834987	109849663	-	NA	NA
SORT1	chr1	109852192	109940573	-	1.026299529	0.0205884928724885500617
PSMA5	chr1	109941653	109969062	-	0.326359057	1.0000000000000000000000
SYPL2	chr1	110009180	110024759	+	0.152936392	1.0000000000000000000000
NUP210L	chr1	153965161	154127592	-	1.069417521	1.0000000000000000000000
TPM3	chr1	154127784	154167124	-	0.282255484	1.0000000000000000000000
C1orf189	chr1	154171848	154178809	-	0.336529111	1.0000000000000000000000
C1orf43	chr1	154179196	154193104	-	0.365114921	1.0000000000000000000000
UBAP2L	chr1	154192655	154243986	+	0.063329639	1.0000000000000000000000
AL590431.1	chr1	154226921	154226997	+	NA	NA
HAX1	chr1	154244987	154248351	+	0.229587241	1.0000000000000000000000
AQP10	chr1	154293566	154297801	+	0.384714783	1.0000000000000000000000
ATP8B2	chr1	154298029	154323783	+	-0.527211713	0.5070929823992590401716
RNU7-57P	chr1	154311219	154311278	+	-0.686484583	1.0000000000000000000000
CHRNB2	chr1	154540257	154552502	+	1.492497006	0.0000158521694832651433
ADAR	chr1	154554538	154600475	-	1.075433142	0.0040944915244703217888
AL606500.1	chr1	154585067	154585190	+	NA	NA
KCNN3	chr1	154679902	154842756	-	1.228385182	0.1310282586598000564848
EFNA1	chr1	155099936	155107333	+	0.624337160	1.0000000000000000000000
SLC50A1	chr1	155107820	155111329	+	-0.006465711	1.0000000000000000000000
DPM3	chr1	155112367	155113071	-	0.342680667	1.0000000000000000000000
KRTCAP2	chr1	155141884	155159747	-	-0.003703554	1.0000000000000000000000
TRIM46	chr1	155145873	155157447	+	-0.144775630	1.0000000000000000000000
MUC1	chr1	155158300	155162707	-	0.681113754	0.2509610988414843202321
MIR92B	chr1	155164968	155165063	+	NA	NA
FAM189B	chr1	155216996	155225274	-	0.014279330	1.0000000000000000000000
SCAMP3	chr1	155225770	155232221	-	-0.171758554	1.0000000000000000000000
CLK2	chr1	155232659	155248282	-	-0.193311936	1.0000000000000000000000
HCN3	chr1	155247374	155259639	+	-0.499243232	1.0000000000000000000000
PKLR	chr1	155259630	155271225	-	-0.156963989	1.0000000000000000000000
FDPS	chr1	155278539	155290457	+	0.108849937	1.0000000000000000000000
RUSC1	chr1	155290687	155300905	+	0.011522020	1.0000000000000000000000
ASH1L	chr1	155305059	155532598	-	-0.092559609	1.0000000000000000000000
MIR555	chr1	155316141	155316236	-	NA	NA
ASH1L-AS1	chr1	155531821	155533775	+	0.290830664	1.0000000000000000000000
MSTO1	chr1	155579979	155718153	+	0.052692075	1.0000000000000000000000
COPA	chr1	160259063	160313190	-	0.025413028	1.0000000000000000000000
NCSTN	chr1	160313062	160328742	+	0.271416363	1.0000000000000000000000
NHLH1	chr1	160336857	160342638	+	0.969687051	0.0330968137137861093122
VANGL2	chr1	160370376	160398468	+	0.430050635	1.0000000000000000000000
SLAMF6	chr1	160454820	160493052	-	-0.727280432	0.0038431779920863550458
AL138930.1	chr1	160473166	160473246	-	-0.182439656	1.0000000000000000000000
ARL8A	chr1	202102532	202113869	-	0.592389604	0.3436976016172209602573
PTPN7	chr1	202116141	202130716	-	-0.042255753	1.0000000000000000000000
LGR6	chr1	202163029	202288909	+	-1.811143064	0.0003018178526198213307
UBE2T	chr1	202300785	202311108	-	0.960535613	0.4970522164699042733105
AC092431.3	chr2	69927324	69940979	-	NA	NA
ANXA4	chr2	69947923	70053596	+	0.521681481	0.3137200818621165843147
GMCL1	chr2	70056774	70108528	+	0.095412359	1.0000000000000000000000
SNRNP27	chr2	70120692	70132707	+	0.254411535	1.0000000000000000000000
MXD1	chr2	70124820	70170077	+	0.709688667	0.8013396307337300461526
AC019206.1	chr2	70129482	70129841	-	-0.220455760	1.0000000000000000000000
ASPRV1	chr2	70187226	70189397	-	0.994188009	0.0366693153250579675917
PCBP1	chr2	70314585	70316332	+	0.204132970	1.0000000000000000000000
AC016700.2	chr2	70316853	70323232	+	NA	NA
AC016700.3	chr2	70321026	70330352	-	-0.180060377	1.0000000000000000000000
AC016700.5	chr2	70351168	70352449	-	-0.267743954	1.0000000000000000000000
GNLY	chr2	85912298	85925977	+	-0.921065387	0.7639148722940851676810
ATOH8	chr2	85978467	86015189	+	-0.835086411	1.0000000000000000000000
ST3GAL5	chr2	86066267	86116137	-	0.009684564	1.0000000000000000000000
AC105053.4	chr2	86116403	86118990	+	-0.021811923	1.0000000000000000000000
ORMDL1	chr2	190635049	190649097	-	-0.027967964	1.0000000000000000000000
AC013468.1	chr2	190642909	190643157	-	NA	NA
PMS1	chr2	190649107	190742355	+	-0.095569187	1.0000000000000000000000
C2orf88	chr2	190744335	191068210	+	0.169749262	1.0000000000000000000000
